,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
608,609,barkera01,,,1936.0,3.0,12.0,USA,WV,Martinsburg,,,,,,,Ray,Barker,,Raymond Herrell,Buddy,192.0,72.0,L,R,9/13/1960,5/21/1967,,barkera01,barkera01,barkr102,barkera01,barkera01
609,610,barkeri01,,,1972.0,10.0,29.0,USA,MA,Revere,,,,,,,Richie,Barker,,,,210.0,74.0,R,R,4/25/1999,5/5/1999,,barkeri01,barkeri01,barkr001,barkeri01,barkeri01
610,611,barkean01,,,1974.0,9.0,5.0,USA,FL,Miami,,,,,,,Andy,Barkett,,,,205.0,73.0,L,L,5/28/2001,6/24/2001,,barkean01,barkean01,barka001,barkean01,barkean01
611,612,barklbr01,,,1975.0,12.0,8.0,USA,TX,Conroe,,,,,,,Brian,Barkley,,,,180.0,74.0,L,L,5/28/1998,9/27/1998,,barklbr01,barklbr01,barkb002,barklbr01,barklbr01
612,613,barklje01,,,1959.0,11.0,21.0,USA,NC,Hickory,,,,,,,Jeff,Barkley,,Jeffrey Carver,,185.0,75.0,B,R,9/16/1984,7/26/1985,Citadel,barklje01,barklje01,barkj001,barklje01,barklje01
613,614,barklre01,,,1912.0,9.0,19.0,USA,TX,Childress,2000.0,12.0,12.0,USA,TX,Waco,Red,Barkley,,John Duncan,,160.0,71.0,R,R,9/2/1937,8/14/1943,,barklre01,barklre01,barkr101,barklre01,barklre01
614,615,barklsa01,barklsa01m,,1858.0,5.0,24.0,USA,WV,Wheeling,1912.0,4.0,20.0,USA,WV,Wheeling,Sam,Barkley,,Samuel E.,,180.0,71.0,R,R,5/1/1884,7/12/1889,,barklsa01,barklsa01,barks101,barklsa01,barklsa01
615,616,,,barlial99h,1915.0,4.0,2.0,USA,IL,Springfield,1995.0,12.0,27.0,USA,IL,Springfield,Al,Barlick,,Albert Joseph,,181.885744235,,,,,,,barlial99,barlial99,barla001,barlial99,barlial99
616,617,barlomi01,,,1948.0,4.0,30.0,USA,NY,Stamford,,,,,,,Mike,Barlow,,Michael Roswell,,210.0,78.0,L,R,6/18/1975,6/8/1981,Syracuse,barlomi01,barlomi01,barlm101,barlomi01,barlomi01
617,618,barloto01,,,1852.0,,,USA,NY,,,,,,,,Tom,Barlow,,Thomas H.,,181.885744235,,,,5/2/1872,7/30/1875,,barloto01,barloto01,barlt101,barloto01,barloto01
618,619,barmebr01,,,1929.0,10.0,23.0,USA,IN,Vincennes,,,,,,,Bruce,Barmes,,Bruce Raymond,Squeaky,165.0,68.0,L,R,9/13/1953,9/27/1953,,barmebr01,barmebr01,barmb101,barmebr01,barmebr01
619,620,barnaba01,,,1915.0,3.0,2.0,USA,WV,Clarksburg,1972.0,5.0,18.0,USA,WV,Charleston,Babe,Barna,,Herbert Paul,,210.0,74.0,L,R,9/16/1937,7/28/1943,,barnaba01,barnaba01,barnb102,barnaba01,barnaba01
620,621,barnach01,,,1900.0,6.0,12.0,USA,CO,Russell Gulch,1977.0,8.0,16.0,USA,TX,Waco,Charlie,Barnabe,,Charles Edward,,164.0,71.0,L,L,4/14/1927,5/13/1928,,barnach01,barnach01,barnc101,barnach01,barnach01
621,622,barnebi01,,,,,,,,,,,,,,,Bill,Barnes,,William H.,,175.0,70.0,,,9/27/1884,10/13/1884,,barnebi01,barnebi01,barnb103,barnebi01,barnebi01
622,623,barnebo01,,,1902.0,1.0,6.0,USA,IL,Washburn,1993.0,12.0,8.0,USA,IL,Peoria,Bob,Barnes,,Robert Avery,Lefty,150.0,71.0,L,L,7/8/1924,7/10/1924,,barnebo01,barnebo01,barnb104,barnebo01,barnebo01
623,624,barnebr01,,,1967.0,3.0,25.0,USA,NC,Roanoke Rapids,,,,,,,Brian,Barnes,,Brian Keith,,170.0,69.0,L,L,9/14/1990,7/1/1994,Clemson,barnebr01,barnebr01,barnb001,barnebr01,barnebr01
624,625,barneep01,,,1900.0,12.0,1.0,USA,NY,Ossining,1980.0,11.0,17.0,USA,NY,Mineola,Eppie,Barnes,,Everett Duane,,175.0,69.0,L,L,9/25/1923,9/24/1924,,barneep01,barneep01,barne101,barneep01,barneep01
625,626,barnefr01,,,1900.0,1.0,9.0,USA,TX,Dallas,1967.0,9.0,27.0,USA,TX,Houston,Frank,Barnes,,Frank Samuel,Lefty,195.0,74.0,L,L,4/18/1929,9/26/1930,,barnefr01,barnefr01,barnf101,barnefr01,barnefr01
626,627,barnefr02,,,1926.0,8.0,26.0,USA,MS,Longwood,,,,,,,Frank,Barnes,,Frank,,170.0,72.0,R,R,9/22/1957,5/14/1960,,barnefr02,barnefr02,barnf102,barnefr02,barnefr02
627,628,barneho01,,,1900.0,1.0,31.0,USA,NY,Fulton,1981.0,6.0,18.0,USA,NY,Lockport,Honey,Barnes,,John Francis,,175.0,70.0,L,R,4/20/1926,4/20/1926,,barneho01,barneho01,barnh101,barneho01,barneho01
